<<<<<<< HEAD
episode,final_profitability,total_reward
0,37.1178,17.4886
1,53.3264,8.7906
2,54.1584,9.3490
3,54.1329,8.7687
4,56.9051,22.4964
5,52.9070,22.3865
6,10.2116,-6.2805
7,48.5889,38.0133
8,26.3896,16.2713
9,46.4569,37.4320
10,51.7844,34.4752
11,49.0170,23.4176
12,56.4727,37.8221
13,62.6847,11.8442
14,58.7574,8.1450
15,35.4003,30.5114
16,55.6058,6.0134
17,27.3615,31.8410
18,57.8199,21.5156
19,35.4003,15.4514
20,35.4003,29.8114
21,36.1214,17.2886
22,60.8615,26.0660
23,51.7370,7.2248
24,24.4505,17.8119
25,19.6542,-4.9661
26,13.6046,-4.7666
27,49.9423,8.6668
28,35.4003,30.4514
29,55.7033,7.3544
30,56.1598,8.7290
31,55.0571,8.0480
32,55.9829,36.7872
33,43.2920,32.3503
34,53.8054,9.3454
35,46.6055,6.0134
36,54.0699,7.4281
37,54.1031,32.4584
38,54.8300,10.3257
39,47.0978,7.4484
40,35.4003,15.4814
41,29.4123,15.8615
42,50.4370,9.4018
43,58.6689,9.4541
44,57.8335,9.4457
45,20.4402,0.0718
46,33.7526,31.9349
47,27.3370,0.8408
48,50.3585,36.2810
49,11.8695,27.1161
50,52.8693,37.2061
51,34.7313,15.9447
52,54.8847,9.3862
53,50.2383,32.2698
54,27.1293,31.7287
55,56.2524,8.2099
56,53.9914,36.5973
57,63.0824,13.3082
58,53.1012,37.2584
59,39.7915,15.9653
60,59.5059,36.0524
61,39.9469,32.5269
62,62.7397,39.7048
63,50.4787,8.0022
64,32.7214,15.9546
65,34.6796,16.9142
66,36.4130,31.5215
67,57.4915,8.2223
68,34.9671,16.8071
69,58.5890,35.8133
70,51.4856,7.3422
71,58.3443,38.1708
72,33.8254,15.7056
73,56.0822,22.2282
74,56.9105,33.1265
75,24.1760,0.6991
76,46.7976,8.6654
77,39.9501,15.9669
78,34.3759,16.2711
79,32.8779,15.7862
80,35.4003,29.8114
81,51.6547,36.9839
82,32.9991,16.8974
83,59.9028,35.5264
84,59.7907,35.5553
85,52.9881,8.6373
86,58.3886,8.9313
87,49.9471,7.9969
88,30.7516,15.7649
89,25.5403,2.7228
90,54.6598,37.2140
91,52.4581,9.3320
92,52.1473,9.2689
93,56.1462,8.9088
94,27.6481,29.7239
95,54.2753,9.3501
96,45.4963,23.1223
97,55.3423,9.4208
98,58.0138,9.5375
99,17.2786,27.2102
100,50.9621,9.4370
101,63.1610,38.7690
102,48.1302,8.7087
103,58.1238,21.0386
104,51.7872,6.8553
105,53.6836,23.6442
106,30.3916,30.2313
107,33.0103,14.8875
108,47.3702,7.3011
109,49.8517,7.3259
110,19.0932,-2.1317
111,48.8986,9.4164
112,49.2567,9.3900
113,42.8908,8.6863
114,27.2074,0.5795
115,47.8330,7.2757
116,54.3369,38.1408
117,52.4180,8.2616
118,59.1708,8.1191
119,36.7192,31.4346
120,53.5753,37.9331
121,61.6907,13.1143
122,61.1560,13.1089
123,48.7942,7.9253
124,38.2426,30.9498
125,59.9747,7.4271
126,50.3465,35.1009
127,35.4003,30.4514
128,48.0903,8.6783
129,60.6054,43.1434
130,33.0533,31.5579
131,60.4091,14.4415
132,30.4227,18.1716
133,59.3312,8.7307
134,23.8674,-0.1739
135,59.1511,20.5089
136,23.3973,0.3714
137,15.0237,26.6976
138,31.0396,15.8478
139,58.6140,6.7435
140,32.4872,30.7823
141,52.2238,9.3296
142,56.4625,33.2120
143,37.1877,31.7693
144,55.2878,36.7503
145,46.7411,21.4248
146,54.5547,23.2129
147,55.3605,33.6910
148,52.5025,8.0224
149,54.9800,37.0672
150,35.4003,15.4814
151,56.9277,8.6467
152,50.6471,7.3639
153,42.6477,9.3839
154,56.5482,7.3629
155,57.5817,36.6332
156,55.1057,9.3884
157,51.6359,34.3837
158,33.5296,31.4327
159,31.7233,31.3646
160,63.8544,13.1659
161,59.8844,21.6462
162,57.4253,8.0416
163,54.5960,35.7133
164,54.6467,8.0739
165,32.8642,31.4260
166,39.5101,31.5525
167,55.1433,8.8388
168,10.8700,9.9461
169,35.4003,30.4514
170,60.3541,42.4609
171,35.6789,17.5842
172,30.6131,15.8735
173,48.7004,39.2944
174,60.3226,13.1006
175,49.4046,8.6014
176,35.4003,30.4814
177,58.0283,7.3777
178,54.6549,36.5439
179,54.7903,7.4353
180,49.3011,6.7404
181,29.3783,31.2212
182,59.3850,9.4912
183,51.8001,7.9254
184,54.2371,8.8298
185,35.0312,15.9477
186,55.5714,7.3231
187,54.0301,8.0677
188,35.4003,30.4514
189,32.7238,30.9546
190,7.4908,-3.8477
191,41.0679,6.5681
192,20.5047,16.1024
193,57.1418,9.3488
194,28.2103,31.9095
195,20.3612,1.1810
196,51.3177,8.7406
197,56.0536,8.0579
198,59.0286,7.4177
199,58.6663,8.7540
=======
episode,final_profitability,total_reward
0,21.4650,10.8336
1,18.2625,-26.7889
2,32.9082,28.7068
3,50.9403,46.5189
4,33.2511,26.3696
5,50.9733,45.8819
6,47.1727,42.0512
7,52.7714,49.6899
8,56.5000,50.8286
9,23.9378,19.6164
10,52.6462,48.3747
11,53.4030,49.0715
12,59.3179,55.6565
13,55.7600,51.4885
14,48.6006,44.2992
15,54.7000,51.8286
16,18.9054,-27.4261
17,50.2515,47.2001
18,46.7884,42.3670
19,31.5887,25.1972
20,26.0886,20.3972
21,49.9686,24.9371
22,33.2511,27.6496
23,24.5932,18.9017
24,47.2279,33.5665
25,48.9573,44.6559
26,61.4900,62.9786
27,54.0400,50.3786
28,24.8050,-14.0464
29,53.9000,48.1986
30,59.4900,54.5186
31,56.7890,51.8476
32,50.9198,47.9583
33,52.9289,47.9275
34,58.3907,54.7893
35,24.8499,20.5885
36,33.5397,28.6082
37,18.0825,-26.2989
38,22.2650,-17.7564
39,33.6760,28.0446
40,52.2503,48.7089
41,5.8079,-9.1836
42,60.7907,60.7893
43,18.9150,-25.9864
44,10.4150,-33.8164
45,46.9910,43.3295
46,31.4804,27.1889
47,57.6933,54.0618
48,62.2000,62.8086
49,21.9231,17.1117
50,30.9447,25.9833
51,60.4500,61.2386
52,27.4393,22.4779
53,23.4063,18.4449
54,20.9125,11.0411
55,52.4155,39.3341
56,56.3202,42.6887
57,26.1550,-13.8364
58,32.9082,26.6068
59,32.9082,26.6368
60,7.4579,-37.5336
61,56.4500,52.2086
62,59.9500,54.7686
63,33.1352,28.7838
64,14.9778,5.0164
65,68.0700,68.1286
66,44.9530,41.9016
67,39.3262,10.7548
68,32.9082,25.8768
69,53.8874,29.6459
70,43.7162,39.9948
71,53.8748,49.6333
72,55.5525,51.0711
73,31.7745,26.8130
74,55.0000,50.7286
75,30.7300,-8.4614
76,30.9069,26.4955
77,23.4063,18.3549
78,58.4400,54.7486
79,31.4252,25.1537
80,16.0829,-28.0786
81,50.9000,46.5386
82,23.1154,18.7040
83,52.7633,47.7919
84,32.1773,25.1758
85,54.7327,49.6713
86,10.2355,-0.4859
87,56.3016,51.8802
88,56.4943,51.4929
89,22.4538,17.6124
90,55.5973,52.7259
91,16.5930,6.5715
92,59.0952,54.6738
93,25.2743,18.2729
94,27.5412,22.6398
95,57.8000,52.7086
96,54.7000,50.4286
97,10.2875,-34.5639
98,16.1283,5.4369
99,53.7900,49.4586
100,28.7729,23.7515
101,58.6134,53.5520
102,49.4047,46.4732
103,51.1967,47.4753
104,56.7900,52.3986
105,34.5461,16.6147
106,61.4000,62.0686
107,19.8466,9.7952
108,53.1900,48.2486
109,51.2546,45.6431
110,65.5800,65.6686
111,24.4612,19.4397
112,52.9000,49.1786
113,53.3800,49.6286
114,54.3500,49.3486
115,22.2650,-17.8164
116,21.3150,-18.6764
117,30.3103,25.9889
118,25.8650,-14.1564
119,31.4252,24.4537
120,8.2804,-37.3811
121,23.4063,18.5649
122,11.5476,2.1962
123,49.0832,43.9018
124,33.6760,27.4046
125,19.4842,10.1027
126,33.1241,28.7727
127,52.2503,49.3489
128,9.2579,-5.1536
129,51.6400,45.9086
130,49.4659,44.4345
131,56.6423,53.6208
132,32.0874,25.1460
133,50.9798,46.5884
134,23.4063,17.0449
135,54.8500,50.3686
136,21.4650,10.7436
137,26.0886,21.2172
138,15.3983,6.0769
139,26.0886,19.8172
140,56.4800,50.8086
141,49.0173,36.0559
142,55.8346,53.5132
143,57.8300,52.7386
144,33.1241,28.1627
145,49.8637,45.4423
146,56.4627,51.4312
147,18.8150,-26.9064
148,50.9573,45.9259
149,26.0213,21.0599
150,26.8550,-13.1664
151,44.7187,30.9373
152,25.8650,-13.4864
153,57.1651,54.1737
154,57.8300,53.4686
155,23.4063,19.0549
156,58.9829,53.9514
157,48.2910,45.9695
158,52.2573,47.3159
159,59.2400,54.9986
160,12.9150,-31.9964
161,36.5638,17.2624
162,57.6020,53.7906
163,49.4905,45.7091
164,20.2519,15.2905
165,56.0126,51.6812
166,30.6866,24.9952
167,59.6800,55.9586
168,25.2050,14.5736
169,58.0889,52.9074
170,28.6118,23.6504
171,55.2500,51.5586
172,11.5872,0.9557
173,54.5400,48.8686
174,56.7684,51.6470
175,16.1054,-29.5261
176,53.6085,49.1271
177,56.0800,52.3586
178,12.2600,-33.4014
179,25.3745,19.1031
180,18.9054,-26.7561
181,19.4369,10.0554
182,57.6100,53.9186
183,58.0126,53.6812
184,59.6666,55.3652
185,33.2511,26.9796
186,58.4362,50.7548
187,57.3243,52.2929
188,57.5300,54.5686
189,11.9332,-31.5282
190,46.7884,43.1870
191,55.6600,51.7886
192,52.0363,47.6449
193,54.0053,39.6139
194,20.9125,10.8911
195,57.1626,52.8912
196,30.6070,25.6455
197,9.2150,-35.7164
198,54.4900,50.2486
199,48.6008,44.9694
>>>>>>> 220bc90 (Initial commit for OpenEnv Hackathon submission)
